Column1;Column2;Column3
爷爷常常让我给他读报纸;Yéye chángcháng ràng wǒ gěi tā dú bàozhǐ;My grandfather often lets me read the newspaper for him
这个消息是我从报纸上看到的;zhè ge xiāoxi shì wǒ cóng bàozhǐ shang kàn dào de;(Alguien pregunta antes: ¿dónde has leído esta revista?)  He leído (completamente) esta noticia en el periódico
考试的时候不可以使用铅笔;kǎoshì de shíhou bù kěyǐ shǐyòng qiānbǐ;Pencil is not allowed to be used during the exam
妈妈给我买了一块新手表;māma gěi wǒ mǎi le yī kuài xīn shǒubiǎo;My mother bought a new watch for me
她用手机给我拍了一些照片;tā yòng shǒujī gěi wǒ pāi le yī xiē zhàopiàn;She took some photos for me with her cell phone
开会的时候，请大家关闭手机;kāihuì de shíhou, qǐng dàjiā guānbì shǒujī;Please everyone switch off cell phones during the meeting
这个公园不需要门票;zhè ge gōngyuán bù xūyào ménpiào;This park needs no entrance tickets
他去火车站买火车票了;tā qù huǒchē zhàn mǎi huǒchē piào le;He went to the train station to buy tickets for the train
请帮我开一下门;qǐng bāng wǒ kāi yī xià mén;Please help me to open the door
有人在外面敲门;yǒu rén zài wàimian qiāo mén;Somebody is outside knocking at the door
生病了就应该吃药;shēng bìng le jiù yīnggāi chī yào;You should take medicine if you got ill
这个药一天吃三次;zhè ge yào yī tiān chī sān cì;Take this medicine three times a day
我们可以坐公共汽车去图书馆;wǒmen kěyǐ zuò gōnggòngqìchē qù túshūguǎn;We can go to the library by bus
他是公共汽车司机 (公交车）;tā shì gōnggòngqìchē sījī (gōngjiāochē);He is a bus driver
这条路不好走;zhè tiáo lù bù hǎo zǒu;This road is not good
请在路边停一下;qǐng zài lù biān tíng yī xià;Please stop at the road side
为了健康，别喝太多咖啡;wèile jiànkāng, bié hē tài duō kāfēi;Do not drink too much coffee, for your health
我要去超市买牛奶;wǒ yào qù chāoshì mǎi niúnǎi;I am going to the supermarket to buy milk
冰箱里还有牛奶吗？;bīngxiāng lǐ hái yǒu niúnǎi ma?;Is there any milk left in the fridge?
这个超市的西瓜又好吃又便宜;Zhè ge chāoshì de xīguā yòu hǎo chī yòu piányi;Watermelons from this supermarket are both tasty and cheap
十块钱能买几个鸡蛋？;shí kuài qián néng mǎi jǐ ge jīdàn?;How many eggs can be bought with 10 CNY?
北方人喜欢吃面条;Běifāng rén xǐhuan chī miàntiáo;People in the North like to eat noodles
南方人喜欢吃米饭;nánfāng rén xǐhuan chī mǐfàn;People in the South like to eat rice
妈妈给我煮了一碗面条;māma gěi wǒ zhǔ le yī wǎn miàntiáo;My mother cooked a bowl of noodles for me
你吃过羊肉火锅吗？;nǐ chī guo yángròu huǒguō ma?;Have you ever eaten hot pot of lamb?
我不在家的时候，你要好好照顾这些鱼;Wǒ bù zài jiā de shíhou, nǐ yào hǎohao zhàogu zhè xiē yú;You should take very good care of these fishes while I am out of home
我老婆有一双漂亮的棕眼睛;wǒ lǎopó yǒu yī shuāng piàoliang de zōng yǎnjing;My wife has a pair of beautiful brown eyes
闭上眼睛，休息一会儿吧;bì shang yǎnjing, xiūxi yī huìr ba;Close your eyes, rest for a while
你最近身体怎么样？;nǐ zuìjìn shēntǐ zěnme yàng?;How are you feeling lately? (literal: how is your body recently?)
今年冬天会下雪吗？;jīn nián dōngtiān huì xià xuě ma?;Will it snow this winter?
奶奶的头发像雪一样白;Nǎinai de tóufa xiàng xuě yí yàng bái;Grandmother's hair is white like snow
这次考试很简单;zhè cì kǎoshì hěn jiǎndān;This exam/test is simple
你一定能通过明天的考试;nǐ yīdìng néng tōngguò míngtiān de kǎoshì;You can certainly pass tomorrow's exam
我们每天早上八点上课;wǒmen měitiān zǎoshang bā diǎn shàng kè;We have class at 8:00 every morning
我很喜欢上汉语课;wǒ hěn xǐhuan shàng hànyǔ kè;I quite like (to attend) Chinese class
这道数学题怎么做？;zhè dào shùxué tí zěnme zuò?;How do you do this math problem?
这次考试一共有四道题;Zhè cì kǎoshì yī gòng yǒu sì dào tí;There are four questions in this exam in total
请你回答我的问题;qǐng nǐ huídá wǒ de wèntí;Please answer my question
我的手机有一点问题;wǒ de shǒujī yǒu yī diǎn wèntí;There is something wrong with my cell phone
医生告诉我要多做运动;yīshēng gàosu wǒ yào duō zuò yùndòng;The doctor told me I should do more sport
游泳是很好的健身运动;yóuyǒng shì hěn hǎo de jiànshēn yùndòng;Swimming is a good sport to keep fit
她的眼睛是什么颜色的？;tā de yǎnjing shì shénme yánsè de?;What is the colour of her eyes?
这件衣服有几种颜色？;Zhè jiàn yīfu yǒu jǐ zhǒng yánsè?;How many kinds of colours does this piece of clothes have?
他病了好长时间;Tā bìng le hǎo cháng shíjiān;He has been ill for a long time
没时间了，你快一点儿;méi shíjiān le, nǐ kuài yīdiǎnr;There is no time, hurry up
孔子学院旁边有一个公园;kǒngzǐ xuéyuàn pángbiān yǒu yī ge gōngyuán;There is a park beside Confucius Institute
我想坐在窗户旁边;wǒ xiǎng zuò zài chuānghu pángbiān;I want to sit by the window
一直往前走，图书馆就在你的右边;yī zhí wǎng qián zǒu, túshūguǎn jiù zài nǐ de yòubian;Go straight ahead, the library is on your right
过马路的时候，先看左边，再看右边;guò mǎlù de shíhou, xiān kàn zuǒbian, zài kàn yòubian;When crossing the road, look first at the left, then look at the right
右边的电梯坏了，我们坐左边的吧;yòubian de diàntī huài le, wǒmen zuò zuǒbian de ba;The elevator on the right is broken, let us take the one on the left
你往左边站一点儿;nǐ wǎng zuǒbian zhàn yī diǎnr;You stand to the left for a while
门外停了一辆新车;mén wài tíng le yī liàng xīn chē;A new car stopped outside the door
王经理现在在国外;wáng jīnglǐ xiànzài zài guówài;The Manager Wang is abroad now
我们每天要工作八个小时;wǒmen měitiān yào gōngzuò bā ge xiǎoshí;We (have to) work eight hours a day
你已经迟到一个小时了;nǐ yǐjīng chí dào yī ge xiǎoshí le;You already have been late for one hour
这件衬衫是我去年买的;zhè jiàn chènshān shì wǒ qù nián mǎi de;I bought this shirt last year
